epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2988.84,1.55622,1.29192,1.65441,0.78372,0.4891,0.64979,0.32015,1.83567,1.39845,2.07274,0.0010991,0.0010991,0.0010991
93,3021.23,1.48196,1.2126,1.61066,0.77358,0.43558,0.52956,0.26726,1.97349,1.82106,2.16391,0.0010892,0.0010892,0.0010892
94,3053.58,1.47614,1.2113,1.58477,0.6544,0.52147,0.61023,0.30114,1.87739,1.44678,2.08696,0.0010793,0.0010793,0.0010793
95,3085.9,1.51401,1.17759,1.60138,0.62036,0.53133,0.57965,0.30081,1.84665,1.48994,2.0662,0.0010694,0.0010694,0.0010694
96,3118.09,1.53365,1.23527,1.63984,0.70379,0.57055,0.63945,0.31869,1.8772,1.38404,2.12593,0.0010595,0.0010595,0.0010595
97,3150.34,1.49641,1.2097,1.62425,0.63801,0.54601,0.61804,0.31395,1.87714,1.39127,2.09125,0.0010496,0.0010496,0.0010496
98,3182.67,1.49213,1.19586,1.59853,0.64637,0.57055,0.60495,0.29374,1.92221,1.44366,2.13286,0.0010397,0.0010397,0.0010397
99,3215.13,1.48161,1.17391,1.60235,0.68663,0.5646,0.64224,0.30955,1.89964,1.38001,2.10476,0.0010298,0.0010298,0.0010298
100,3247.5,1.50651,1.22234,1.64252,0.64324,0.57055,0.61089,0.27281,1.98434,1.41947,2.23676,0.0010199,0.0010199,0.0010199
101,3279.87,1.46207,1.12949,1.58888,0.66255,0.61963,0.67034,0.33514,1.84162,1.28896,2.06785,0.00101,0.00101,0.00101
102,3312.38,1.42623,1.1023,1.56543,0.61888,0.55828,0.61778,0.31575,1.88282,1.45819,2.09837,0.0010001,0.0010001,0.0010001
103,3344.6,1.43915,1.14354,1.58136,0.69502,0.57322,0.64481,0.32533,1.87817,1.35182,2.12299,0.0009902,0.0009902,0.0009902
104,3376.88,1.46605,1.16952,1.57898,0.58782,0.60736,0.61261,0.28993,1.95731,1.47755,2.1714,0.0009803,0.0009803,0.0009803
105,3409.32,1.46371,1.18062,1.61153,0.63139,0.53988,0.59744,0.2991,1.87639,1.36666,2.09431,0.0009704,0.0009704,0.0009704
106,3441.6,1.47641,1.16477,1.61835,0.66351,0.60736,0.64743,0.32591,1.88736,1.36444,2.09724,0.0009605,0.0009605,0.0009605
107,3473.86,1.47883,1.16849,1.59626,0.60792,0.60123,0.63459,0.31908,1.83865,1.3429,2.08686,0.0009506,0.0009506,0.0009506
108,3506.17,1.40361,1.11914,1.54075,0.66786,0.55828,0.647,0.31882,1.88429,1.36639,2.13707,0.0009407,0.0009407,0.0009407
109,3538.6,1.43688,1.13671,1.56714,0.75905,0.4908,0.62127,0.30035,1.97489,1.40667,2.20669,0.0009308,0.0009308,0.0009308
110,3571.01,1.42536,1.16222,1.59033,0.6975,0.57669,0.63498,0.32091,1.84161,1.37187,2.06813,0.0009209,0.0009209,0.0009209
111,3603.43,1.45472,1.15967,1.5665,0.61713,0.55215,0.60684,0.31076,1.8489,1.35549,2.08657,0.000911,0.000911,0.000911
112,3635.8,1.37752,1.08114,1.53913,0.62011,0.57082,0.62743,0.30681,1.9076,1.42015,2.15636,0.0009011,0.0009011,0.0009011
113,3668.18,1.39351,1.07959,1.52484,0.64097,0.58051,0.64682,0.29853,1.8926,1.39982,2.12123,0.0008912,0.0008912,0.0008912
114,3700.51,1.37073,1.09316,1.53185,0.63945,0.57667,0.65246,0.32027,1.82599,1.34663,2.09708,0.0008813,0.0008813,0.0008813
115,3732.97,1.41535,1.12088,1.53193,0.69442,0.60736,0.68193,0.33377,1.85321,1.28874,2.0937,0.0008714,0.0008714,0.0008714
116,3765.28,1.32666,1.05804,1.49196,0.70581,0.58896,0.6424,0.32243,1.86409,1.35415,2.10801,0.0008615,0.0008615,0.0008615
117,3797.71,1.38196,1.09346,1.52999,0.75708,0.56442,0.65069,0.32156,1.87979,1.39103,2.15585,0.0008516,0.0008516,0.0008516
118,3830.02,1.33379,1.04752,1.49281,0.59489,0.63063,0.64508,0.32881,1.83908,1.31601,2.08867,0.0008417,0.0008417,0.0008417
119,3862.29,1.32966,1.03844,1.498,0.66262,0.58282,0.63355,0.31395,1.90848,1.30527,2.19623,0.0008318,0.0008318,0.0008318
120,3894.55,1.32378,1.03543,1.48979,0.6644,0.61943,0.6771,0.32082,1.85513,1.32297,2.13797,0.0008219,0.0008219,0.0008219
121,3926.96,1.26602,1.00474,1.47227,0.68135,0.59509,0.63825,0.3137,1.91152,1.35376,2.21401,0.000812,0.000812,0.000812
122,3959.23,1.34774,1.04671,1.48342,0.69336,0.58282,0.66717,0.33221,1.86218,1.31546,2.17264,0.0008021,0.0008021,0.0008021
123,3991.34,1.28718,1.02795,1.47762,0.68674,0.6319,0.67205,0.34084,1.83099,1.28072,2.12619,0.0007922,0.0007922,0.0007922
124,4023.78,1.3082,1.02574,1.49014,0.67569,0.6135,0.66611,0.31956,1.88137,1.29941,2.17994,0.0007823,0.0007823,0.0007823
